word	phone
ekuta	ekˈuta
ataareɛ	ataaɾˈez
wɔrenom	wˈerenˈom
anaa	anˈɑː
wɔda	wˈeda
reforo	refˈoro
sukuu	sukˈuː
ahaban	ahˈaban
bokiti	bokˈiti
etuo	etˈuo
ɛwowɔ	qwˈowe
ɛde	qdˈe
di	dˈi
ɔdan	edˈan
mmabaa	mmabˈɑɑ
brush	brˈuʃ
ɔnhyɛ	ˈenhjz
nsensan	nsensˈan
agye	ˈaɡje
wɔresa	werˈesa
ɛmu	qmˈu
baage	bˈɑːɡe
mmorɔfo	mmoɾˈefo
ɛbɔ	qbˈe
fitaa	fitˈɑː
rɔba	rˈeba
blu	blˈu
resua	resˈua
ahyehyɛ	ahjˈehjz
nnum	nnˈum
nyeɛma	njˈeætsma
efunu	efˈunu
agugu	aɡˈuʁu
kaa	kˈɑː
umbrella	umbrˈella
mpanyinfoɔ	mpaɲinfoˈe
akan	ˈakan
wɔbɔ	wˈebˈæ
mbasiafo	mbasiˈafo
anwia	ˈanwja
apanpan	apˈanpan
ɔrehohoro	erˌehohˈoro
baabi	baˈabi
afra	ˈafra
ntwene	ntwene
akatakata	akˈatakˈata
teaseanam	tˌeasˌeanˈam
kyɛnse	çjjansˈe
amamfo	amˈamfo
sukuudan	sukˈuːdan
yɛ	jˈet͡s
ɛhyia	ɕjˈia
wɔretwa	werˈetwa
ɛda	qdˈa
nnɔbaeɛ	nnebaˈez
wɔmo	wˈemo
specs	spˈeks
awia	awˈia
ɛfiri	æfˈiri
kɛseɛ	cˈesˈet͡s
wom	wˈom
akutuo	akˈutwo
etwa	ˈetwa
aba	ˈaba
afee	afˈeː
glass	ɡlˈɑss
ɛkoɔ	ˈelcoˈe
mmoadoma	mmoadˈoma
wɔhyehyɛ	wehjˈehjz
wɔdeda	wedˈeda
yere	jˈere
soa	sˈoa
so	sˈo
tɛ	tˈel
plɛɛte	plæt͡sˈetˈe
ɔmɔ	ˈæmˈe
bench	bˈent͡ʃ
tutu	tˈutu
nni	nnˈi
wɔrohwɛ	weɾˈohwæz
overall	overˈall
ɔware	ewˈare
wɔatwerɛtwerɛ	weatwerˈætweræt
wɔrepia	wˈerepˈia
ship	ʃˈip
flower	floːwˈer
ɔresa	erˈesa
owura	owˈura
ɔbea	ebˈea
wɔresesa	wˈeresˈesa
asi	ˈasi
fam	fˈam
su	sˈu
tir	tˈir
gutter	ɡˈutter
sare	sˈare
phone	phˈone
mpaboa	mpabˈoa
ekyire	ekjˈire
enum	enˈum
pɛ	pˈet͡s
si	sˈi
skirt	skˈirt
okita	okˈita
ɛrekyerɛ	tˈeçreçjˈert͡s
osi	ˈosi
trakta	trˈɑqtɑ
rubber	rˈubber
twerɛ	twˈert͡s
wɔnam	wenˈam
retutu	retˈutu
ɛmaa	qmˈɑː
ɛhyehyɛ	ɕˈehjˈehjz
wɔgu	wˈeʁu
ɔreyɛ	eɾˈejæ
kosua	kosˈua
eyi	ˈeji
	nˈan
ɔresi	eɾˈesi
dodow	dodˈow
funu	funˈu
dzi	dzˈi
nkurɔfokuo	ncuɾefokˈuo
panneɛ	pannˈet͡s
wɔte	wˈete
nsutene	nsutˈene
computer	kompjˈuter
nhwehwɛ	nhwˈehwɒɕ
daka	dˈɑkɑ
ntakra	ntˈɑqrɑ
wɔredzi	werˈedzi
jacket	d͡ʒˈakket
ɔsane	esˈane
stage	stˈɑːʁe
bridge	brˈidɡe
ɔama	dˈama
adwadifoɔ	adwadifˈoˈe
nantwie	nˈantwi
dua	dwˈa
paneɛ	panˈet͡s
hɔnom	henˈom
lɔre	leɾˈe
wɔabue	wˈæabˈue
wɔrobɔ	weɾˈobˈe
tirinwi	tirˈinwi
mbofra	mbˈofra
woehyia	wˈuhjia
ndzɛmba	ˈendˌezˈembˈa
ako	ˈako
ayer	ajˈer
korɔ	coɾˈe
maamefoɔ	maamefoˈe
ayɛ	ˈajj
kanko	kˈanko
ɔreto	erˈeto
obronin	obronˈin
nataadeɛ	nataadˈez
ɔkyerɛkyerɛni	eçjerççjerært͡snˈi
ewiem	ewˈim
ɛfɔm	ɕfˈæm
egugu	eɡˈuʁu
ɔbaakofoɔ	ebaacofoˈe
mmɔframma	mmæfrˈamma
wiem	wim
helmet	helmˈet
fɔm	fˈæm
adwumayɛfoɔ	adwumajælfoˈe
kube	kˈube
yɛfrɛ	jˈæt͡sfrˈet͡s
wɔabobɔ	wæabˈobe
baasa	bɑːsˈa
bɔɔl	beˈæl
nipa	nˈipa
ngua	nɡwˈa
mmabaawa	mmˌabaˈawa
kiosk	kiˈosk
akasamu	akasˈamu
agofomma	aɡofˈomma
nenyiwa	neɲˈiwa
aborɔfo	aboɾˈefo
nanom	nanˈom
akyi	ˈakji
tumm	tˈumm
ɔmmu	ˈemmu
atweredeɛ	atweredˈez
apagyapagya	apaɟjapˈaɟja
bankye	bˈɑnkjə
wɔresere	wˈeresere
ayaresabea	ajaresabˈea
ebimo	ebˈimo
twa	twˈɑ
nohoa	nohˈoa
nkokɔ	ncocˈe
train	trˈa͡ɪn
faako	fɑːko
nnyɛma	nɲˈæt͡sma
robot	robˈot
coal	koˈal
abɔnten	abˈænten
ɔretwi	erˈetwi
abarimaa	abˈarimˈɑː
nsuo	nsˈuo
nhyiren	nhjˈiren
bunu	bˈunu
atwerɛ	atwˈert͡s
ahyi	ˈahji
kan	kˈan
akuafoɔ	akuafoˈe
koraa	korˈɑɑ
nkaefo	nkaˈefo
mayaafi	majaafˈi
asɛesɛe	ast͡sestsˈe
ɔde	ˈede
gyingyina	ɟjinɟjˈina
yɛasiesie	jt͡ɕˈasisie
apegya	apˈeɟja
wɔto	wˈeto
nano	nˈɑno
pata	pˈata
yɛde	jqdˈe
to	tˈo
bibire	bibˈire
ↄbarima	eːbarˈima
kuruwa	kurˈuwa
ani	ˈani
naa	nˈɑː
akata	akˈata
ahobammɔ	ahobˈamme
woesiesie	wusisie
hwee	hwiə
baag	bˈɑːʁ
grin	ɡrˈin
trousers	trˈowsers
ɔso	ˈeso
ɔman	emˈan
nkɛntɛn	ˈencˈejntjˈen
dukuu	dukˈyː
sofi	sˈofi
nanum	nˈanum
nasene	nasˈene
socks	sˈoks
ɛhɔnom	ˈeqhenˈom
wohwɛ	wˈohwɒq
nkukuo	nkukˈuo
akita	akˈita
abofra	abˈofra
kente	kˈente
cabbage	kabbˈɑːɡe
sɛn	sˈet͡ʃˈen
tikya	tˈikja
ɛsoro	qsˈoro
sensɛn	sˈenst͡sn
aduro	adˈuro
rewɔ	rˈewæ
me	mˈe
duku	dˈuku
rokɔ	rocˈe
kete	kˈete
akɔnneaba	acenneˈaba
abansoro	abansˈoro
aseɛ	asˈex
edwumayɛfo	edwumajælfˈo
awuraba	ˈawurˈaba
polisini	polisˈini
ahomatorofoɔ	ahomatoɾofoˈe
kɔkɔɔ	cecˈeˈe
abere	abˈere
fa	fˈa
ɔsan	esˈan
tsentsen	tsˈentsen
nnɔte	nnˈete
twere	twere
kyinniiɛ	kjinnˈii
panyin	paɲˈin
wonyinaa	wˈoɲinˈɑː
ɛkata	ˈelcˈata
du	dˈu
ɛrekasa	ˈelecˈasa
fɛm	fˈelˈem
mmrɛ	ˈemˌemrˈet͡ʃ
ahyiam	ahjiˈam
ɔpanin	epˈanin
mpanimfo	mpanˈimfo
gloves	ɡlˈoves
trouser	trˈowser
wɔreto	werˈeto
cake	kˈake
nketesia	nketesˈia
books	bˈʊks
wohu	wˈoxu
lab	lˈab
ikor	icˈor
amanyɔkuo	amanjekˈuo
aberewa	aberˈewa
renom	renˈom
binom	binˈom
nsɛm	ˈensˈem
ano	ˈano
mmranteɛ	mmrantˈet͡s
nwi	nwˈi
awie	awˈi
kubedua	kubedˈua
suit	sˈujt
tuntum	tˈuntum
ataar	atˈɑːr
kasa	kˈasa
rekɔ	recˈe
wɔrehyehyɛ	weɾehjˈehjæ
afura	afˈura
wɔrekasa	wˈerekˈasa
machine	mat͡ʃˈine
nkɔkɔɔ	ˈencecˈeˈe
shelves	ʃˈelves
adua	adˈua
tirihwi	tirˈihwi
asum	asˈum
obiaa	obiˈaː
bo	bˈo
aforo	afˈoro
wɔdze	wˈedze
nemu	nˈemu
wɔtete	wetˈete
nkraman	nkrɑmˈan
nna	nnˈɑ
police	polˈise
light	lˈiɡht
taxi	tˈaksi
nkɔmbɔ	ncˈæmbæ
